Datei,Cluster
quantum_log_Simulatrix Neuralis_act_nq4_20250418035823_863b.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035753_3640.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035759_2251.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035806_d55c.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035806_dbc3.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035805_306b.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035804_892c.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035815_4a1f.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035813_c32e.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035819_75f7.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035820_b06b.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035822_5e35.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035820_8cdc.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035817_f101.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035814_d947.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035807_2c37.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035804_429f.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035810_64ab.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035812_791d.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035828_3210.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035826_2e80.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035824_46e6.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035825_c6dc.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035747_c76a.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035833_36cd.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035750_2e4f.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035756_3b1f.json,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_e547.json,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035755_2d1e.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035813_55ec.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035816_6749.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035801_6758.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035757_c05d.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035806_3557.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035809_1c3f.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035802_5260.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035802_1c54.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035806_148f.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035803_cdf1.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035806_d813.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035810_39b4.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035756_9f3a.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035757_7e2a.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035749_a837.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035751_b4dc.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035747_5a8c.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035746_48f2.json,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035801_85c9.json,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035806_54cd.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035820_54b1.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035825_df21.json,3
