Datei 1,Datei 2,Distanz
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035826_9f1a.json,quantum_log_Cortex Creativus_act_nq4_20250418035757_7e2a.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035829_0946.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035832_08da.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035757_9b3e.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035745_8dd3.json,quantum_log_Cortex Criticus_act_nq4_20250418035747_9212.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035756_9f3a.json,quantum_log_Cortex Criticus_act_nq4_20250418035816_32e7.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035806_3557.json,quantum_log_Synergien und Integration_act_nq4_20250418035821_8dbc.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035809_1c3f.json,quantum_log_Ethik und Moral_act_nq4_20250418035825_0741.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035809_1c3f.json,quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035809_1c3f.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035815_dab4.json,quantum_log_Meta Cognitio_act_nq4_20250418035759_207f.json,2.0000
quantum_log_Cortex Creativus_act_nq4_20250418035825_3b31.json,quantum_log_Synergien und Integration_act_nq4_20250418035823_2ef6.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_48f2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035754_02b4.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_48f2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035806_54cd.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_48f2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035829_f75c.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035827_91b6.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035748_200b.json,quantum_log_Ethik und Moral_act_nq4_20250418035825_0741.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035748_200b.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035754_02b4.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035752_8cde.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035813_a8bb.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035752_8cde.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035757_9b3e.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035752_f8ca.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035832_2185.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035754_2442.json,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035817_12e4.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035807_2c37.json,quantum_log_Cortex Criticus_act_nq4_20250418035812_791d.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035811_4288.json,quantum_log_Ethik und Moral_act_nq4_20250418035759_2251.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035812_791d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035817_f101.json,quantum_log_Cortex Criticus_act_nq4_20250418035820_8cdc.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035817_f101.json,quantum_log_Ethik und Moral_act_nq4_20250418035825_1151.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035817_f101.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035819_6ab7.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035817_f101.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_3273.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035820_8cdc.json,quantum_log_Cortex Socialis_act_nq4_20250418035806_78d0.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035820_8cdc.json,quantum_log_Ethik und Moral_act_nq4_20250418035825_1151.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035820_8cdc.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035819_6ab7.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035820_8cdc.json,quantum_log_Meta Cognitio_act_nq4_20250418035758_8bd2.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035824_46e6.json,quantum_log_Meta Cognitio_act_nq4_20250418035810_e5b9.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035825_6d76.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035824_2c5d.json,2.0000
quantum_log_Cortex Criticus_act_nq4_20250418035833_36cd.json,quantum_log_Ethik und Moral_act_nq4_20250418035807_5843.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035746_df35.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035746_df35.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035747_c76a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035802_46ef.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035750_2e4f.json,quantum_log_Cortex Socialis_act_nq4_20250418035756_3b1f.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035751_0f4d.json,quantum_log_Ethik und Moral_act_nq4_20250418035820_19d2.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035800_b69b.json,quantum_log_Ethik und Moral_act_nq4_20250418035827_2f66.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035802_9a26.json,quantum_log_Ethik und Moral_act_nq4_20250418035829_2184.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035802_9a26.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_1dcd.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035815_4a1f.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035747_33af.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035816_4d8c.json,quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035820_4a4b.json,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035745_ee54.json,2.0000
quantum_log_Cortex Socialis_act_nq4_20250418035820_b06b.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035815_c785.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035750_b5ed.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035831_79ab.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035759_2251.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035759_2251.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,2.0000
